Date	Price	Open	High	Low	Change %
12-Feb-18	7.5	7.496	7.5	7.489	0.05%
9-Feb-18	7.496	7.462	7.496	7.462	0.33%
8-Feb-18	7.471	7.505	7.505	7.471	-0.80%
7-Feb-18	7.531	7.572	7.586	7.531	-0.54
6-Feb-18	7.572	7.611	7.611	7.568	-0.51
5-Feb-18	7.611	7.594	7.611	7.594	0.53
2-Feb-18	7.571	7.664	7.664	7.571	-0.56
1-Feb-18	7.614	7.491	7.614	7.491	2.46
31-Jan-18	7.431	7.412	7.431	7.412	-0.07
30-Jan-18	7.436	7.433	7.436	7.433	-0.09
29-Jan-18	7.443	7.346	7.443	7.346	1.86
25-Jan-18	7.307	7.321	7.321	7.307	0.43
24-Jan-18	7.276	7.269	7.276	7.269	-1.89
23-Jan-18	7.416	7.439	7.439	7.416	-0.62
22-Jan-18	7.462	7.503	7.503	7.462	-0.23
19-Jan-18	7.479	7.459	7.479	7.459	0.07
18-Jan-18	7.474	7.445	7.474	7.445	0.77
17-Jan-18	7.417	7.426	7.426	7.417	-1.89
16-Jan-18	7.56	7.557	7.56	7.557	1.56
15-Jan-18	7.444	7.462	7.462	7.444	-0.13
12-Jan-18	7.454	7.438	7.454	7.438	0.22
11-Jan-18	7.438	7.453	7.453	7.438	-0.05
10-Jan-18	7.442	7.419	7.442	7.419	0.98
9-Jan-18	7.37	7.356	7.37	7.356	0.35
8-Jan-18	7.344	7.313	7.344	7.313	0.69
5-Jan-18	7.294	7.333	7.333	7.294	-0.59
4-Jan-18	7.337	7.357	7.357	7.337	0.19
3-Jan-18	7.323	7.398	7.398	7.323	-0.89
2-Jan-18	7.389	7.381	7.389	7.381	0.67
1-Jan-18	7.34	7.32	7.34	7.32	0.3
29-Dec-17	7.318	7.377	7.377	7.318	-1.08
28-Dec-17	7.398	7.346	7.398	7.346	2.48
27-Dec-17	7.219	7.289	7.289	7.219	-0.8
26-Dec-17	7.277	7.301	7.301	7.277	0.03
22-Dec-17	7.275	7.268	7.275	7.268	0.86
21-Dec-17	7.213	7.242	7.242	7.213	-0.1
20-Dec-17	7.22	7.207	7.22	7.207	0.59
19-Dec-17	7.178	7.175	7.178	7.175	-0.08
18-Dec-17	7.184	7.161	7.184	7.161	0.71
16-Dec-17	7.133	7.133	7.133	7.133	0
15-Dec-17	7.133	7.136	7.136	7.133	0.04
14-Dec-17	7.13	7.154	7.154	7.13	-0.63
13-Dec-17	7.175	7.231	7.231	7.175	-0.18
12-Dec-17	7.188	7.218	7.218	7.188	0.18
11-Dec-17	7.175	7.118	7.175	7.118	1.18
8-Dec-17	7.091	7.079	7.091	7.079	0.51
7-Dec-17	7.055	7.028	7.055	7.028	0.3
6-Dec-17	7.034	7.077	7.077	7.034	-0.38
5-Dec-17	7.061	7.062	7.062	7.061	-0.3
4-Dec-17	7.082	7.089	7.089	7.082	0.28
30-Nov-17	7.062	7.052	7.062	7.052	0.53
29-Nov-17	7.025	7.022	7.025	7.022	-0.11
28-Nov-17	7.033	7.05	7.05	7.033	-0.33
27-Nov-17	7.056	7.033	7.056	7.033	0.77
24-Nov-17	7.002	7.019	7.019	7.002	0.2
